x,y
33442,32091
32790,33828
33132,35665
33760,36365
33238,39231
31241,46357
30472,50383
54742,50642
71963,43813
70644,41513
68837,39557
67398,38818
66212,36507
62892,29592
62758,26828
63869,24829
54136,26067
54938,27469
56336,28285
57553,29029
58867,31018
57537,32538
55770,33794
51613,35303
49338,35982
46086,34888
43216,33731
42464,32308
43110,30195
33442,32091
